"name","continent","population","area","water_percentage","gdp_nominal","gdp_pp","legislature","head_of_state","driving_side","calling_code","currency","hdi","gini","date_assumed_office","covid_cases","covid_vaccinations"
"Lithuania","Europe",2780427,65300.0,4.01,54627.0,114035.0,"Parliament","Gitanas Naus?da","R","+370","Euro (?) (EUR)",0.882,35.4,"2019-07-12",427118.0,1823303.0
"Luxembourg","Europe",634730,2586.0,0.0,71104.0,78309.0,"Chamber of Deputies (D'Chamber / Chambre des députés / Abgeordnetenkammer)","Henri, Grand Duke of Luxembourg","R","+352","Euro (?) (EUR)",0.916,32.3,"2000-10-07",82842.0,440811.0
"Madagascar","Africa",26923353,587041.0,0.94,14104.0,46350.0,"Parliament (Palemanta / Parlement)","Andry Rajoelina","R","+261","Ariary (MGA)",0.528,42.6,"2019-01-19",43632.0,381633.0
"Malawi","Africa",18898441,118484.0,20.6,8099.0,21576.0,"National Assembly","Lazarus Chakwera","L","+265","Malawian kwacha (D) (MWK)",0.483,44.7,"2020-06-28",61815.0,999312.0
"Malaysia","Asia",32726000,330803.0,0.35,364684.0,978781.0,"Parliament (Parlimen)","Abdullah of Pahang","L","+60","Ringgit (RM) (MYR)",0.81,41.0,"2019-01-31",2506309.0,25502897.0
"Maldives","Asia",383135,300.0,0.0,5642.0,8972.0,"People's Assembly","Ibrahim Mohamed Solih","L","+960","Maldivian rufiyaa (MVR)",0.74,31.3,"2018-11-17",88817.0,394801.0
"Mali","Africa",20856000,1240192.0,1.61,17432.0,49987.0,"National Assembly (Assemblée nationale)","Assimi Go?ta","R","+223","West African CFA franc (XOF)",0.434,33.0,"2021-05-24",16371.0,324713.0
"Malta","Europe",514564,316.0,0.0,14863.0,23501.0,"Parliament (Il-Parlament)","George Vella","L","+356","Euro (?) (EUR)",0.895,28.0,"2019-04-04",37904.0,431973.0
"Marshall Islands","Oceania",54516,181.0,98.47,237.0,210.0,"Legislature (Nitije??)","David Kabua","R","+692","United States dollar (USD)",0.704,"NULL","2020-01-13",4.0,"NULL"
"Mauritania","Africa",4271197,1030700.0,0.44,7593.0,25409.0,"Parliament (???????? Barlamene)","Mohamed Ould Ghazouani","R","+222","Ouguiya (MRU)",0.546,32.6,"2019-08-01",37703.0,1002548.0
"Mauritius","Africa",1266334,2040.0,0.49,14180.0,27909.0,"National Assembly (Assemblée nationale)","Prithvirajsing Roopun","L","+230","Mauritian rupee (MUR)",0.804,36.8,"2019-12-02",18314.0,905034.0
"Mexico","North America",126014024,1964375.0,1.04,1256440.0,2613797.0,"Congress of the Union (Congreso de la Unión)","Andrés Manuel López Obrador","R","+52","Mexican peso (MXN)",0.779,41.8,"2018-12-01",3826786.0,74937548.0
"Moldova","Europe",2597100,33846.0,2.84,11955.0,35906.0,"Parliament (Parlamentul)","Maia Sandu","R","+373","Moldovan leu (MDL)",0.75,25.7,"2020-12-24",345964.0,884590.0
"Monaco","Europe",38350,2.02,0.0,7423.0,"NULL","National Council (Conseil National)","Albert II, Prince of Monaco","R","+377","Euro (?) (EUR)","NULL","NULL","2005-04-06",3436.0,26672.0
"Mongolia","Asia",3406308,1564110.0,0.68,13852.0,42412.0,"State Great Assembly","Ukhnaagiin Khürelsükh","R","+976","Tögrög (MNT)",0.737,32.7,"2021-06-25",367412.0,2256066.0
"Montenegro","Europe",621306,13812.0,2.61,5542.0,13313.0,"Assembly (Skup¹tina / ?????????)","Milo Ðukanoviæ","R","+382","Euro (?)a (EUR)",0.829,34.1,"2018-05-20",148579.0,260374.0
"Morocco","Africa",36419854,446550.0,0.06,119700.0,291495.0,"Parliament (???????? ??????? / ???????? ??????? / Parlement)","Mohammed VI of Morocco","R","+212","Moroccan dirham (MAD)",0.686,40.3,"1999-07-23",947396.0,24259320.0
"Mozambique","Africa",30832244,801590.0,1.63,15296.0,"NULL","Assembly of the Republic (Assembleia da República)","Filipe Nyusi","L","+258","Metical (MZN)",0.456,45.7,"2015-01-15",151368.0,4159380.0
"Myanmar","Asia",55294979,676578.0,3.41,76784.0,258677.0,"Assembly of the Union (???????????????????? Pyidaungsu Hluttaw)","Min Aung Hlaing","R","+95","Kyat (K) (MMK)",0.583,30.7,"2021-02-02",506816.0,13244996.0
"Namibia","Africa",2550226,825615.0,0.12,12366.0,24843.0,"Parliament","Hage Geingob","L","+264","Namibian dollar  (NAD)",0.646,59.1,"2015-03-21",129009.0,333506.0
"Nauru","Oceania",11832,21.0,0.0,132.0,132.0,"Parliament","Lionel Aingimea","L","+674","Australian dollar (AUD)","NULL","NULL","2019-08-27","NULL",7612.0
"Nepal","Asia",30378055,147181.0,2.6,30714.0,122629.0,"Federal Parliament (????? ???? Sanghiya Sansad)","Bidhya Devi Bhandari","L","+977","Nepalese rupee (Rs, ??) (NPR)",0.602,32.8,"2015-10-29",814558.0,8670024.0
"Netherlands","Europe",17655431,41850.0,18.41,907050.0,1055502.0,"States General (Staten-Generaal)","Willem-Alexander of the Netherlands","R","+31","Euro (?) (EUR)US dollar ($) (USD)",0.944,27.5,"2013-04-30",2241183.0,13032981.0
"New Zealand","Oceania",5134312,270467.0,1.65,206936.0,226566.0,"Parliament (P?remata)","Elizabeth II","L","+64","New Zealand dollar ($) (NZD)",0.931,33.9,"1952-02-06",7649.0,3755550.0
"Nicaragua","North America",6595674,130373.0,7.96,12520.0,36964.0,"National Assembly (Asamblea Nacional)","Daniel Ortega","R","+505","Córdoba (NIO)",0.66,46.2,"2007-01-10",16699.0,944476.0
"Niger","Africa",24112753,1267000.0,0.02,12927.0,33162.0,"National Assembly (Assemblée nationale)","Mohamed Bazoum","R","+227","West African CFA franc (XOF)",0.394,34.0,"2021-04-02",6490.0,498894.0
"Nigeria","Africa",211401000,923768.0,1.41,474516.0,1116255.0,"National Assembly","Muhammadu Buhari","R","+234","Naira (?) (NGN)",0.539,35.1,"2015-05-30",212713.0,5701796.0
"North Korea","Asia",25660000,120540.0,0.11,16331.0,12100.0,"Supreme People's Assembly (?????? / ?????? Ch'oe-go In-min Hoe-?i)","Kim Jong-un","R","+850","Korean People's won (?) (KPW)","NULL","NULL","2012-04-11","NULL","NULL"
"North Macedonia","Europe",2068808,25713.0,1.09,12694.0,36673.0,"Assembly (???????? Sobranie)","Stevo Pendarovski","R","+389","Macedonian denar (MKD)",0.774,30.7,"2019-05-12",206077.0,846247.0
"Norway","Europe",5402171,385207.0,5.0,403336.0,374994.0,"Great Assembly","Harald V of Norway","R","+47","Norwegian krone (NOK)",0.957,25.4,"1991-01-17",216855.0,4210216.0
"Oman","Asia",4513666,309500.0,0.0,76331.0,138998.0,"Council of Oman (???? ??????)","Haitham bin Tarik","R","+968","Omani rial (OMR)",0.813,30.75,"2020-01-11",304365.0,3065137.0
"Pakistan","Asia",225200000,907843.0,2.86,263000.0,1110075.0,"Parliament of Pakistan (????????)","Arif Alvi","L","+92","Pakistani rupee (?) (PKR)",0.557,31.6,"2018-09-09",1277160.0,74621225.0
"Palau","Oceania",17957,459.0,0.0,280.0,229.0,"National Congress (Olbiil era Kelulau)","Surangel Whipps Jr.","R","+680","United States dollar (USD)",0.826,"NULL","2021-01-21",8.0,"NULL"
"Panama","North America",4278500,75417.0,1.43,66787.0,131807.0,"National Assembly (Asamblea Nacional)","Laurentino Cortizo","R","+507","Balboa (PAB)United States dollar (USD)",0.815,49.9,"2019-07-01",473416.0,2979833.0
"Papua New Guinea","Oceania",9122994,462840.0,2.16,24969.0,35464.0,"National Parliament","Elizabeth II","L","+675","Kina (PGK)",0.555,41.9,"1975-09-16",31479.0,183856.0
"Paraguay","South America",7353038,406752.0,2.32,38086.0,98929.0,"Congress (Congreso)","Mario Abdo Benítez","R","+595","Guaraní (PYG)",0.728,46.2,"2018-08-15",461313.0,2927343.0
"Peru","South America",33035304,1285216.0,0.41,226850.0,439262.0,"Congress of the Republic (Congreso de la República / Rimana Wasin)","Pedro Castillo","R","+51","Sol (PEN)",0.777,41.5,"2021-07-28",2207510.0,20009051.0
"Philippines","Asia",111059662,300000.0,0.61,359354.0,1000617.0,"Congress (Kongreso)","Rodrigo Duterte","R","+63","Philippine peso (?) (PHP)",0.718,42.3,"2016-06-30",2803213.0,38332677.0
"Poland","Europe",38158000,312696.0,3.07,595862.0,1363766.0,"Parliament of PolandNational Assembly (Zgromadzenie Narodowe","Andrzej Duda","R","+48","Z³oty (PLN)",0.88,28.5,"2015-08-06",3104220.0,20352407.0
"Portugal","Europe",10347892,92226.0,1.2,238785.0,370497.0,"Assembly of the Republic (Assembleia da República)","Marcelo Rebelo de Sousa","R","+351","Euro (?) (EUR)",0.864,31.9,"2016-03-09",1097557.0,9026755.0
"Qatar","Asia",2799202,11586.0,0.0,183466.0,273040.0,"Consultative Assembly","Tamim bin Hamad Al Thani","R","+974","Qatari riyal (QAR)",0.848,41.1,"2013-06-25",240098.0,2360308.0
"Republic of Ireland","Europe",5011500,70273.0,1.98,398590.0,500270.0,"Parliament","Michael D. Higgins","L","+353","Euro (?)",0.955,28.3,"2011-11-11",469386.0,3821486.0
"Republic of the Congo","Africa",5657000,342000.0,0.15,12397.0,20005.0,"Parliament (Parlement)","Denis Sassou Nguesso","R","+242","Central African CFA franc (XAF)",0.574,40.2,"1997-10-25",17944.0,384530.0
"Romania","Europe",19186201,238397.0,2.97,250075.0,636481.0,"Parliament (Parlamentul)","Klaus Iohannis","R","+40","Romanian leu (RON)",0.828,33.8,"2014-12-21",1706882.0,7047759.0
"Russia","Europe",146171015,17098246.0,4.21,1692930.0,4328122.0,"Federal Assembly (??????????? ???????? Federalnoye Sobraniye)","Vladimir Putin","R","+7","Russian ruble (?) (RUB)",0.824,37.5,"2012-05-07",8651561.0,57997497.0
"Rwanda","Africa",12955768,26338.0,6.34,10355.0,31848.0,"Parliament (Inteko Ishinga Amategeko / Parlement)","Paul Kagame","R","+250","Rwandan franc (RWF)",0.543,43.7,"2000-04-22",99947.0,3937599.0
"Saint Kitts and Nevis","North America",54000,261.0,0.0,1050.0,1196.0,"National Assembly","Elizabeth II","L","+1 869","East Caribbean dollar (XCD)",0.779,"NULL","1983-09-19",2717.0,26094.0
"Saint Lucia","North America",178696,616.0,1.62,2122.0,2539.0,"Parliament","Elizabeth II","L","+1 758","East Caribbean dollar (XCD)",0.759,51.2,"1979-02-22",12688.0,51864.0
"Saint Vincent and the Grenadines","North America",110696,389.0,0.0,825.0,1418.0,"House of Assembly","Elizabeth II","L","+1 784","East Caribbean dollar (XCD)",0.738,"NULL","1979-10-27",5092.0,26640.0
"Samoa","Oceania",199853,2842.0,0.35,844.0,1077.0,"Parliament (Palemene)","Tuimalealiifano Va'aletoa Sualauvi II","L","+685","T?l? (WS$b) (WST)",0.715,38.7,"2017-07-21",3.0,121713.0
"San Marino","Europe",33641,61.0,0.0,1602.0,2086.0,"Grand and General Council (Consiglio Grande e Generale)","Francesco Mussoni","R","+378","Euro (?) (EUR)",0.875,"NULL","2021-10-01",5588.0,25173.0
"Saudi Arabia","Asia",35013414,2149690.0,0.0,792966.0,1705519.0,"NULL","Salman of Saudi Arabia","R","+966","Saudi Riyal (SR) (SAR)",0.854,45.9,"2015-01-23",548930.0,24288343.0
"Senegal","Africa",17223497,196722.0,2.13,23664.0,62412.0,"Parliament","Macky Sall","R","+221","West African CFA franc (XOF)",0.512,40.3,"2012-04-02",73935.0,1281042.0
"Serbia","Europe",6871547,88361.0,0.13,51475.0,119532.0,"National Assembly (??????? ????????? / Narodna skup¹tina)","Aleksandar Vuèiæ","R","+381","Serbian dinar (RSD)",0.806,33.3,"2017-05-31",1183025.0,3176748.0
"Seychelles","Africa",99202,452.0,0.0,1698.0,2561.0,"National Assembly (Assemblée nationale / Lasanble Nasyonal)","Wavel Ramkalawan","L","+248","Seychellois rupee (SCR)",0.796,46.8,"2020-10-26",22381.0,81323.0
"Sierra Leone","Africa",8297882,71740.0,0.17,4121.0,14449.0,"Parliament","Julius Maada Bio","R","+232","Leone (SLL)",0.452,35.7,"2018-04-04",6398.0,505385.0
"Singapore","Asia",5453600,728.0,1.43,372073.0,600063.0,"Parliament (Parlimen / ???? Guóji? y?hu? / ???????????? N????uma??am)","Halimah Yacob","L","+65","Singapore dollar (S$) (SGD)",0.938,45.9,"2017-09-14",218333.0,4759748.0
"Slovakia","Europe",5459781,49037.0,1.9,105079.0,190277.0,"National Council (Národná rada)","Zuzana Èaputová","R","+421","Euro (?) (EUR)",0.86,22.8,"2019-06-15",518635.0,2513532.0
"Slovenia","Europe",2108977,20273.0,0.6,54174.0,85889.0,"Parliament (Dr¾avni zbor Republike Slovenije)","Borut Pahor","R","+386","Euro (?) (EUR)",0.917,23.5,"2012-12-22",355979.0,1195384.0
"Solomon Islands","Oceania",728041,28896.0,3.15,1302.0,1662.0,"National Parliament","Elizabeth II","L","+677","Solomon Islands dollar (SBD)",0.567,37.1,"1978-07-07",20.0,121778.0
"Somalia","Africa",16360000,637657.0,1.62,1626.0,14574.0,"Federal Parliament (Baarlamaanka Federaalka / ??????? ????????)","Mohamed Abdullahi Mohamed","R","+252","Somali shilling (SOS)",0.361,"NULL","2017-02-16",22693.0,365791.0
"South Africa","Africa",60142978,1221037.0,0.38,351430.0,753113.0,"Parliament","Cyril Ramaphosa","L","+27","South African rand (ZAR)",0.709,63.0,"2018-02-15",2923956.0,15779126.0
"South Korea","Asia",51671569,100210.0,0.3,1646539.0,2436872.0,"National Assembly (?? / ?? Gukhoe)","Moon Jae-in","R","+82","Korean Republic won (?) (KRW)",0.916,34.5,"2017-05-10",381694.0,41520134.0
"South Sudan","Africa",13249924,644329.0,0.0,4959.0,11693.0,"National Legislature","Salva Kiir Mayardit","R","+211","South Sudanese pound (SSP)",0.433,44.1,"2011-07-09",12453.0,84839.0
"Spain","Europe",47394223,505992.0,1.26,1393490.0,1959037.0,"General Courts","Felipe VI of Spain","R","+34","Euro",0.904,33.0,"2014-06-19",5025639.0,38083061.0
"Sri Lanka","Asia",22156000,65610.0,4.4,84008.0,306997.0,"Parliament(????? ???? ????????????? / ?????? ????????????)","Gotabaya Rajapaksa","L","+94","Sri Lankan rupee (Rs) (LKR)",0.782,39.8,"2019-11-18",545256.0,15796673.0
"State of Palestine","Asia",5227193,6020.0,3.9,17058.0,29582.0,"Legislative Council (?????? ???????? Al-Majlis al-Tashr?'iyy)","Mahmoud Abbas","R","+970","Israeli new shekel (ILS)",0.708,33.7,"2005-01-15",455099.0,1487111.0
"Sudan","Africa",43931980,1861484.0,6.97,34895.0,185742.0,"National Legislature","Abdel Fattah al-Burhan","R","+249","Sudanese pound (SDG)",0.51,34.2,"2021-10-25",40433.0,1154253.0
"Suriname","South America",598000,163820.0,4.77,3697.0,8992.0,"National Assembly (Nationale Assemblée)","Chan Santokhi","L","+597","Surinamese dollar (SRD)",0.738,"NULL","2020-07-16",49550.0,252052.0
"Sweden","Europe",10427296,450295.0,8.87,530883.0,589751.0,"Parliament (Riksdagen)","Carl XVI Gustaf of Sweden","R","+46","Swedish krona (SEK)",0.945,26.9,"1973-09-15",1177094.0,7263918.0
"Switzerland","Europe",8696088,41284.0,3.1,731425.0,660862.0,"Federal Assembly (Bundesversammlung, Assemblée fédérale, Assemblea federale, Assamblea federala)","Guy Parmelin","R","+41","Swiss franc (CHF)",0.955,29.7,"2021-01-01",887446.0,5739121.0
"Syria","Asia",18276000,185180.0,0.84,20379.0,136344.0,"People's Assembly (???? ????? Majlis al-Sha'ab)","Bashar al-Assad","R","+963","Syrian pound (SYP)",0.567,55.8,"2000-07-17",44191.0,807249.0
"S?o Tomé and Príncipe","Africa",214610,964.0,0.0,421.0,875.0,"National Assembly (Assembleia Nacional)","Carlos Vila Nova","R","+239","Dobra (STN)",0.625,56.3,"2021-10-02",3729.0,80345.0
"Tajikistan","Asia",9504000,143100.0,1.81,8333.0,37235.0,"Supreme Assembly (??????? ???? Majlisi Oli)","Emomali Rahmon","R","+992","Somoni (TJS)",0.668,34.0,"1994-11-16",17486.0,2678569.0
"Tanzania","Africa",59441988,945087.0,6.49,61136.0,171006.0,"National Assembly (Bunge)","Samia Suluhu Hassan","L","+255","Tanzanian shilling (TZS)",0.529,40.5,"2021-03-19",26196.0,885579.0
"Thailand","Asia",66714905,513120.0,0.43,542016.0,1329324.0,"National Assembly (?????? Ratthasapha)","Vajiralongkorn","L","+66","Baht (?) (THB)",0.777,34.9,"2016-10-13",1967999.0,43403391.0
"The Bahamas","North America",393450,13943.0,27.88,13578.0,13254.0,"Parliament","Elizabeth II","L","+1 242","Bahamian dollar (BSD)",0.814,"NULL","1973-07-10",22485.0,143726.0
"The Gambia","Africa",2487000,11295.0,11.47,1822.0,5942.0,"National Assembly","Adama Barrow","R","+220","Dalasi (GMD)",0.496,35.9,"2017-01-19",9973.0,234467.0
"Togo","Africa",7886000,56785.0,4.23,7270.0,19199.0,"National Assembly (Assemblée nationale)","Faure Gnassingbé","R","+228","West African CFA franc (XOF)",0.515,43.1,"2005-05-04",26114.0,929347.0
"Tonga","Oceania",99532,747.0,4.02,508.0,616.0,"Legislative Assembly (Fale Alea)","Tupou VI","L","+676","Pa?anga (TOP)",0.725,37.6,"2012-03-18",1.0,54529.0
"Trinidad and Tobago","North America",1367558,5130.0,0.0,23208.0,36413.0,"Parliament","Paula-Mae Weekes","L","+1 (868)","Trinidad and Tobago dollar (TTD)",0.796,39.0,"2018-03-19",59304.0,627208.0
"Tunisia","Africa",11746695,163610.0,5.04,38797.0,127325.0,"Assembly of the Representatives of the People (???? ???? ????? Majless Noweb al Shaab)","Kais Saied","R","+216","Tunisian dinar (TND)",0.74,35.8,"2019-10-23",713308.0,5705705.0
"Turkey","Asia",83614362,783562.0,1.78,761425.0,2749570.0,"Grand National Assembly of Turkey(Türkiye Büyük Millet Meclisi)","Recep Tayyip Erdo?an","R","+90","Turkish lira (?) (TRY)",0.82,47.0,"2014-08-28",8233649.0,55625504.0
"Turkmenistan","Asia",6118000,488100.0,3.72,48276.0,104539.0,"National Council (Milli Geòeº)","Gurbanguly Berdimuhamedow","R","+993","Turkmenistan manat (TMT)",0.715,40.8,"2007-02-14","NULL",32240.0
"Tuvalu","Oceania",10679,26.0,0.0,47.0,52.0,"Parliament (Palamene)","Elizabeth II","L","+688","Tuvaluan dollar","NULL",39.1,"1978-10-01","NULL",6230.0
"Uganda","Africa",42885900,241550.0,18.23,32609.0,114896.0,"Parliament (Bunge)","Yoweri Museveni","L","+256a","Ugandan shilling (UGX)",0.544,42.0,"1986-01-29",126570.0,3189173.0
"Ukraine","Europe",41342465,603500.0,4.01,153781.0,576106.0,"Supreme Council (???????? ???? Verkhovna Rada)","Volodymyr Zelensky","R","+380","Hryvnia (?) (UAH)",0.779,26.6,"2019-05-20",3218967.0,11406282.0
"United Arab Emirates","Asia",9503738,83600.0,0.0,421142.0,683182.0,"Federal National Assembly (?????? ?????? ???????? Majlis Watani Ittihad)","Khalifa bin Zayed Al Nahyan","R","+971","UAE dirham (AED)",0.89,32.5,"2004-11-03",740432.0,9741962.0
"United Kingdom","Europe",67081234,242495.0,0.69,2826441.0,3174921.0,"Parliament","Elizabeth II","L","+44","Pound sterling",0.932,36.6,"1952-02-06",9346961.0,50234416.0
"United States","North America",332666785,9833517.0,3.96,21433226.0,22675271.0,"Congress","Joe Biden","R","+1","U.S. dollar ($) (USD)",0.926,48.5,"2021-01-20",46487791.0,223629671.0
"Uruguay","South America",3554915,176215.0,0.68,56045.0,83170.0,"General Assembly (Asamblea General)","Luis Alberto Lacalle Pou","R","+598","Uruguayan peso (UYU)",0.817,39.7,"2020-03-01",395268.0,2766359.0
"Uzbekistan","Asia",35189453,447400.0,4.92,57921.0,270013.0,"Supreme Assembly (Oliy Majlis / ???? ??????)","Shavkat Mirziyoyev","R","+998","Uzbek som (UZS)",0.72,36.7,"2016-12-14",187924.0,14450493.0
"Vanuatu","Oceania",301295,12189.0,0.0,906.0,816.0,"Parliament (Parlement)","Tallis Obed Moses","R","+678","Vatu (VUV)",0.609,37.6,"2017-07-06",6.0,72276.0
"Vatican City","Europe",825,0.49,0.0,"NULL","NULL","Pontifical Commission (Pontificia Commissione / Pontificia Commissio)","Pope Francis","R","+379","Euro (?) (EUR)","NULL","NULL","2013-03-13",27.0,"NULL"
"Venezuela","South America",28705000,916445.0,3.29,134960.0,144737.0,"National Assembly (Asamblea Nacional)","Nicolás Maduro","R","+58","Bolívar digital (VED)",0.711,44.8,"2013-03-05",413135.0,13858057.0
"Vietnam","Asia",97580000,331212.0,6.38,261921.0,1148054.0,"National Assembly (Qu?c h?i)","Nguy?n Phú Tr?ng","R","+84","ð?ng (?) (VND)",0.704,35.7,"2011-01-19",968684.0,60845405.0
"Yemen","Asia",30491000,555000.0,0.0,24935.0,64042.0,"Parliament","Abdrabbuh Mansur Hadi","R","+967","Yemeni rial (YER)",0.47,36.7,"2012-02-27",9870.0,331778.0
"Zambia","Africa",18400556,752612.0,1.23,23085.0,64638.0,"National Assembly","Hakainde Hichilema","L","+260","Zambian kwacha (ZMW)",0.584,57.1,"2021-08-24",209902.0,311049.0
"Zimbabwe","Africa",15790716,390757.0,1.0,21440.0,41794.0,"Parliament","Emmerson Mnangagwa","L","+263","Zimbabwean dollar",0.571,50.3,"2017-11-24",133187.0,3372721.0